"","Game","Opponent","Weekday","TeamRecord","TeamWinPct","OppRecord","OppWinPct","TotalAttendance","OppAllStars","DaysSinceHome","TradeDeadline","twoTimeAllStars","CombWinPct","OppCombWinPct","EndOrDay","SellOut","pct.attendance","prop.attendance"
"1",1,"Charlotte","Wednesday","0-0",0,"0-0",0,18717,2,NA,0,1,0.4024390244,0.585,"Weekday",1,0.999946575488834,9.83718748077848
"2",2,"Brooklyn","Saturday","0-1",0,"1~1",0.5,12570,1,2,0,0,0.4024390244,0.265,"Weekend",0,0.671546105353136,0.715186196925807
"3",3,"Indiana","Thursday","2~2",0.5,"2~2",0.5,11374,2,2,0,1,0.4024390244,0.549,"Weekday",0,0.607650389998932,0.437446395566419
"4",4,"Sacramento","Saturday","3~2",0.6,"2~4",0.333333,16021,1,3,0,1,0.4024390244,0.402,"Weekend",0,0.855914093386046,1.78176031750698
"5",5,"New Orleans","Thursday","4~3",0.571,"0-8",0,12159,2,4,0,1,0.4024390244,0.366,"Weekday",0,0.649588631264024,0.617231484002683
"6",6,"Memphis","Saturday","4~4",0.5,"4~4",0.5,14327,3,1,0,3,0.4024390244,0.512,"Weekend",0,0.765412971471311,1.18258887733165
"7",7,"Golden St","Saturday","5~6",0.455,"10~2",0.833333333,18717,6,6,0,4,0.4024390244,0.89,"Weekend",1,0.999946575488834,9.83718748077848
"8",8,"Orlando","Monday","5~7",0.417,"6~7",0.461538462,12306,0,1,0,0,0.4024390244,0.427,"Weekday",0,0.657442034405385,0.651915713570992
"9",9,"Toronto","Friday","6~7",0.461,"10~6",0.625,16223,2,3,0,2,0.4024390244,0.683,"Weekend",0,0.866705844641522,1.87214125922478
"10",10,"Cleveland","Tuesday","7~8",0.467,"13-2",0.866666667,16559,3,3,0,3,0.4024390244,0.695,"Weekday",0,0.884656480393204,2.03728460912768
"11",11,"Brooklyn","Saturday","9~8",0.529,"5~13",0.277777778,15565,1,3,0,0,0.529,0.277777778,"Weekend",0,0.831552516294476,1.59667042333065
"12",12,"San Antonio","Monday","10~8",0.556,"16-4",0.8,14256,6,1,0,5,0.556,0.8,"Weekday",0,0.761619831178545,1.16158077471811
"13",13,"Portland","Wednesday","10~9",0.526,"12~10",0.545454545,14033,1,1,0,1,0.526,0.545454545,"Weekday",0,0.749706165188589,1.09704578307861
"14",14,"Atlanta","Friday","11~9",0.55,"11~12",0.47826087,16289,3,1,0,2,0.55,0.47826087,"Weekend",0,0.870231862378459,1.90301038335543
"15",15,"Chicago","Thursday","11~12",0.478,"13-11",0.541666667,16704,3,5,0,3,0.478,0.541666667,"Weekday",0,0.892403034512234,2.11552541740386
"16",16,"Cleveland","Tuesday","13-12",0.52,"19-6",0.76,17053,3,4,0,3,0.52,0.76,"Weekday",0,0.911048188909071,2.32650101789837
"17",17,"Washington","Friday","13-14",0.481,"13-15",0.464285714,15921,1,2,0,1,0.481,0.464285714,"Weekend",0,0.850571642269473,1.73909157829405
"18",18,"Oklahoma City","Monday","16-16",0.5,"21-13",0.617647059,17423,1,9,0,1,0.5,0.617647059,"Weekday",0,0.930815258040389,2.59928047728927
"19",19,"NY Knicks","Friday","18-16",0.529,"16-19",0.457142857,18717,3,3,0,3,0.529,0.457142857,"Weekend",1,0.999946575488834,9.83718748077848
"20",20,"Washington","Sunday","18-17",0.514,"17-18",0.485714286,15311,1,1,0,1,0.514,0.485714286,"Weekend",0,0.817982690458382,1.50273938564413
"21",21,"Miami","Friday","19-18",0.514,"11~29",0.282051282,17483,0,4,0,0,0.514,0.282051282,"Weekend",0,0.934020728710332,2.65015801013557
"22",22,"Philadelphia","Monday","20-19",0.512820513,"12~26",0.315789474,13261,0,2,0,0,0.512820513,0.315789474,"Weekday",0,0.708462442568651,0.887928208491367
"23",23,"Houston","Monday","20-23",0.465116279,"34-13",0.723404255,14016,1,6,0,1,0.465116279,0.723404255,"Weekday",0,0.748797948498771,1.09221158407616
"24",24,"Philadelphia","Wednesday","21-23",0.477272727,"16-27",0.372093023,13663,0,1,0,0,0.477272727,0.372093023,"Weekday",0,0.729939096057271,0.994313596883916
"25",25,"Boston","Saturday","21-25",0.456521739,"28-18",0.608695652,18717,2,2,0,1,0.456521739,0.608695652,"Weekend",1,0.999946575488834,9.83718748077848
"26",26,"Miami","Wednesday","22-28",0.44,"22-39",0.431372549,14221,0,10,0,0,0.44,0.431372549,"Weekday",0,0.759749973287744,1.15130923760199
"27",27,"LA Lakers","Friday","22-29",0.431372549,"18-37",0.327272727,16380,2,1,0,1,0.431372549,0.327272727,"Weekend",0,0.87509349289454,1.94676521537505
"28",28,"Detroit","Monday","23-30",0.433962264,"26-29",0.472727273,13397,1,2,0,0,0.433962264,0.472727273,"Weekday",0,0.715728176087189,0.923369545680616
"29",29,"Utah","Friday","25-30",0.454545455,"35-22",0.614035088,16064,2,10,1,1,0.454545455,0.614035088,"Weekend",0,0.858211347366172,1.8005128075993
"30",30,"Phoenix","Sunday","25-31",0.446428571,"18-40",0.310344828,16051,1,1,1,0,0.446428571,0.310344828,"Weekend",0,0.857516828721017,1.7948169077312
"31",31,"Denver","Wednesday","26-32",0.448275862,"27-33",0.45,13214,2,2,1,1,0.448275862,0.45,"Weekday",0,0.705951490543862,0.875801772976651
"32",32,"LA Clippers","Friday","26-33",0.440677966,"36-24",0.6,16208,4,1,1,3,0.440677966,0.6,"Weekend",0,0.865904476974036,1.86522219436264
"33",33,"Toronto","Saturday","27-33",0.45,"37-25",0.596774194,16775,2,0,1,2,0.45,0.596774194,"Weekend",0,0.896196174805001,2.15565651246244
"34",34,"NY Knicks","Wednesday","29-33",0.467741935,"26-38",0.40625,13767,3,3,1,3,0.467741935,0.40625,"Weekday",0,0.735495245218506,1.02268484770152
"35",35,"Indiana","Friday","30-33",0.476190476,"33-31",0.515625,16177,2,1,1,1,0.476190476,0.515625,"Weekend",0,0.864248317127898,1.85103277600953
"36",36,"Minnesota","Saturday","31-33",0.484375,"27-37",0.421875,18717,0,0,1,0,0.484375,0.421875,"Weekend",1,0.999946575488834,9.83718748077848
"37",37,"Atlanta","Friday","36-35",0.507042254,"37-34",0.521126761,16786,2,12,1,2,0.507042254,0.521126761,"Weekend",0,0.896783844427823,2.16198946987031
"38",38,"Chicago","Sunday","37-35",0.513888889,"34-39",0.465753425,17669,3,1,1,3,0.513888889,0.465753425,"Weekend",0,0.943957687787157,2.82397436222035
"39",39,"Detroit","Friday","39-36",0.52,"35-41",0.460526316,18717,1,4,1,0,0.52,0.460526316,"Weekend",1,0.999946575488834,9.83718748077848
"40",40,"Dallas","Sunday","40-36",0.526315789,"31-44",0.413333333,18717,3,1,1,2,0.526315789,0.413333333,"Weekend",1,0.999946575488834,9.83718748077848
"41",41,"Charlotte","Monday","41-39",0.5125,"36-44",0.45,18717,2,7,1,1,0.5125,0.45,"Weekday",1,0.999946575488834,9.83718748077848
